60,3128,28848
96,3118,28844
128,3125,28790
128,3175,28760
156,3103,28776
192,3074,28774
220,3068,28767
240,3056,28764
320,2973,28742
352,3032,28672
356,2968,28735
384,2965,28700
400,3021,28636
424,2956,28669
424,3031,28600
448,2928,28662
480,2908,28646
502,2909,28652
512,3020,28524
512,3208,28341
536,3198,28328
536,3344,28180
542,3271,28250
544,2888,28629
544,3204,28315
544,3376,28141
544,3502,28016
544,3510,27997
548,3244,28272
548,3453,28060
552,3416,28092
560,3566,27937
560,3675,27824
564,3636,27862
568,3536,27958
568,3605,27889
568,3784,27708
572,3046,28444
576,3700,27786
576,3824,27655
576,3836,27649
576,3854,27628
576,3912,27560
580,3816,27667
584,3496,27976
592,3391,28080
600,3968,27496
604,2863,28597
604,4060,27400
608,3952,27504
608,4112,27344
608,4122,27308
608,4124,27309
612,4095,27340
618,4002,27442
620,3974,27468
624,2860,28580
624,3909,27528
632,4046,27375
636,2850,28575
640,3184,28232
640,3481,27921
640,3490,27924
652,3182,28230
656,2848,28560
672,4168,27218
672,4178,27212
676,2844,28536
686,3476,27901
688,4294,27064
688,4320,27054
688,4335,27039
690,4239,27116
694,4248,27122
696,3468,27900
700,3768,27596
700,4189,27152
704,4201,27154
710,4042,27298
712,4044,27305
720,3452,27883
732,4348,26984
734,4734,26595
736,3441,27880
736,4400,26926
736,4655,26659
744,4656,26662
752,4505,26800
752,4584,26724
752,4772,26539
760,4452,26852
768,4814,26480
768,4976,26317
768,5098,26188
776,4900,26386
776,5074,26212
780,4684,26599
780,4914,26370
784,2838,28440
784,5296,25978
792,4791,26479
792,5261,26010
792,5406,25865
796,5401,25864
800,5288,25950
804,4884,26368
808,4272,26979
808,4788,26456
820,2804,28439
824,4559,26678
832,3964,27266
832,5434,25753
832,5616,25583
832,5628,25600
836,4768,26452
846,3963,27245
856,2770,28432
864,2760,28429
864,3316,27878
888,5046,26128
896,2756,28410
900,5838,25316
900,5956,25189
910,2749,28388
910,5784,25360
928,3940,27196
928,5993,25128
928,6024,25094
928,6064,25062
930,2744,28378
930,5324,25804
944,4760,26360
944,5928,25188
952,6616,24478
952,6640,24464
956,6343,24760
960,6220,24873
968,6088,25008
972,6061,25000
976,4738,26340
1008,7113,23943
1012,6932,24112
1016,6800,24241
1024,6708,24330
1024,6888,24148
1032,7082,23944
1040,6691,24321
1040,6776,24225
1042,5221,25801
1050,6604,24401
1056,4680,26324
1064,6533,24454
1080,6960,24020
1080,7044,23940
1084,5220,25744
1088,2742,28220
1104,7204,23748
1120,7122,23816
1144,8036,22884
1144,8112,22690
1152,7307,23602
1152,8048,22864
1160,7054,23848
1164,8187,22712
1168,5176,25720
1176,7866,23015
1184,5904,24968
1184,7444,23428
1198,8016,22840
1200,7696,23140
1210,7541,23297
1216,5167,25676
1264,8556,22241
1268,8880,21903
1288,6856,23920
1290,9243,21524
1306,9128,21608
1312,5810,24937
1312,8904,21844
1336,10368,20328
1344,9924,20796
1344,9936,20776
1344,10126,20569
1352,3739,26968
1352,9581,21128
1360,9488,21204
1360,10012,20688
1376,3724,26960
1384,10732,19914
1400,10736,19919
1408,5732,24924
1412,10420,20232
1424,10632,19967
1432,10576,20052
1452,5731,24840
1460,4983,25578
1480,3665,26914
1504,2704,27854
1504,6832,23728
1508,11808,18736
1518,11686,18857
1528,12144,18376
1536,11120,19408
1552,11292,19216
1560,12084,18280
1568,10081,20310
1572,9416,20973
1600,7814,22626
1600,8822,21590
1636,6772,23620
1692,8788,21558
1696,6769,23570
1728,14240,16084
1744,13368,16913
1748,13200,17056
1752,12627,17520
1760,11652,18566
1760,12398,17892
1776,7800,22480
1808,9960,20286
1824,8758,21482
1848,9902,20200
1872,8728,21396
1888,8730,21424
1914,7688,22428
1928,4555,25546
1980,11565,18516
1984,7652,22416
1984,9896,20182
2016,13364,16669
2024,9892,20144
2080,9864,20120
2080,13362,16592
2088,6453,23518
2112,8524,21384
2208,6446,23408
2208,14505,14619
2272,11538,18248
2288,11528,18246
2288,12512,16034
2300,12868,16036
2312,11496,18187
2328,11518,18214
2336,6342,23380
2400,13354,16056
2400,13361,16240
2496,13357,16058
2524,11416,18084
2560,9826,19648
2624,13360,16068
2656,12912,16037
2656,13324,16040
2656,13332,16041
2656,13352,16052
2664,11215,18020
2664,13342,16042
2664,13346,16048
2664,13348,16050
2668,2670,24793
2668,8469,19564
2668,11250,18042
2670,4490,24804
2684,4502,24816
1968,2048,2200,6322
1968,2248,11007,15840
2000,2256,11072,16033
