13648,15266
15265,14476
96,2956,27474
128,2928,27472
156,2904,27460
156,2952,27420
188,2924,27395
216,2982,27324
224,3014,27275
226,2947,27319
228,2953,27320
240,2902,27384
268,2877,27378
288,3049,27189
304,3036,27184
352,3091,27084
364,2876,27254
404,3076,27048
416,2850,27244
416,3088,27024
440,3168,26914
448,3090,26988
448,3116,26950
452,2833,27222
480,3216,26832
504,3180,26844
508,3224,26796
512,3299,26716
512,3388,26627
512,3440,26572
522,3221,26784
524,3340,26664
528,3336,26663
528,3516,26475
532,3448,26540
534,2810,27180
542,3642,26344
544,3574,26408
544,3748,26219
544,3754,26220
544,3777,26192
548,2800,27177
552,3439,26535
556,3632,26335
558,3334,26630
558,3496,26468
560,3260,26704
566,3495,26466
568,3796,26162
568,3844,26111
574,2796,27158
576,3530,26416
576,3850,26101
576,3921,26026
576,4104,25840
576,4149,25803
584,3324,26620
584,3624,26316
594,3692,26242
596,4160,25768
600,3808,26119
600,4007,25916
608,4006,25910
608,4156,25763
608,4311,25608
608,4420,25488
616,2783,27129
616,4183,25722
618,3495,26403
632,4524,25357
640,4444,25438
644,4269,25612
648,4148,25721
648,4604,25264
650,3691,26184
658,2758,27110
664,4400,25464
664,4636,25228
664,5068,24791
672,4438,25407
672,4648,25206
672,4848,25004
686,5032,24809
688,5020,24801
698,3251,26571
704,2740,27077
712,4684,25132
712,5092,24720
718,4675,25128
720,3976,25832
724,3971,25823
736,4242,25548
736,4670,25100
736,5392,24384
736,5533,24253
744,3250,26530
748,2730,27050
752,4504,25259
768,3939,25812
768,4781,24972
768,5241,24508
768,5302,24452
768,5826,23889
768,5836,23893
784,5231,24504
784,5557,24166
784,5637,24094
786,4773,24968
794,2711,27020
800,5144,24582
800,5364,24360
816,5608,24092
824,2680,27017
832,3596,26100
832,4767,24926
832,5454,24241
844,5597,24080
848,5104,24574
852,2676,27000
860,5804,23861
864,5782,23881
864,6012,23640
868,5890,23765
880,5791,23856
884,6173,23468
888,6032,23596
896,3591,26036
904,6310,23312
912,6384,23230
920,6157,23436
920,6286,23316
932,5780,23813
936,6419,23158
952,6401,23149
954,5964,23590
956,5752,23800
960,2675,26892
988,6512,23025
992,4964,24572
992,6556,22966
992,6736,22776
1000,6151,23372
1008,6253,23248
1024,2632,26871
1044,6800,22680
1046,5916,23564
1054,6729,22744
1056,6576,22896
1060,4232,25196
1072,2626,26822
1084,2611,26819
1106,6680,22732
1110,5884,23532
1118,7204,22200
1120,7142,22261
1126,7362,22032
1136,4958,24432
1152,7434,21940
1152,8415,20948
1156,2596,26776
1160,7032,22334
1160,7461,21884
1160,8168,21194
1176,6891,22455
1176,7246,22104
1184,7722,21616
1192,6810,22520
1192,8304,21012
1200,7440,21864
1228,9426,19828
1230,8924,20348
1234,8882,20400
1248,8624,20632
1250,7988,21266
1280,6576,22672
1280,8774,20463
1296,7655,21575
1296,8495,20728
1296,10064,19150
1304,6552,22670
1308,6550,22668
1312,8290,20912
1328,7224,21976
1344,9679,19472
1344,10044,19128
1344,10204,18963
1344,10640,18476
1346,8484,20688
1376,6500,22646
1376,7592,21527
1392,4208,24918
1408,7164,21944
1424,2576,26524
1424,10464,18636
1440,11028,18060
1440,11296,17788
1448,11536,17542
1472,8455,20600
1472,11816,17211
1492,11612,17384
1504,7160,21834
1504,8399,20594
1540,8391,20582
1568,10620,18284
1584,9639,19282
1592,6488,22448
1632,7088,21794
1632,11120,17776
1648,12484,16392
1648,12702,16176
1656,13376,15492
1664,6472,22384
1676,13748,15104
1678,8389,20459
1678,9599,19248
1682,3932,24908
1690,13752,15009
1696,11984,16688
1698,9581,19218
1776,8280,20451
1824,8264,20431
1856,9524,19144
1872,11099,17550
1888,9512,19120
1888,13672,14899
1896,8248,20383
1918,11054,17446
1926,9496,19100
1934,11059,17478
1952,8208,20335
2008,9482,19031
2040,12760,15728
2072,9424,19011
2120,11019,17352
2164,2172,15267
2176,11001,17350
2200,12722,15556
2202,12724,15588
2208,10968,17266
2208,10982,17307
2210,10984,17327
2218,9374,18915
2304,10396,15274
2320,12720,15460
2352,10902,17259
2368,10878,17200
2368,12719,15396
2488,12715,15316
2504,12532,15275
2504,12714,15300
2520,12711,15290
2528,12708,15288
2536,12564,15279
2536,12612,15280
2536,12692,15282
2536,12706,15284
2540,10818,16360
2540,10822,16596
2540,12705,15283
2546,3920,23141
2564,3928,24030
1884,2180,7866,15268
1904,2540,2542,23073
1916,2542,2542,23121
2112,2192,7932,15271
2160,2196,9232,15272
