11410,20614
160,3204,30220
174,3176,30238
192,3171,30206
288,3124,30184
288,3250,30060
296,3166,30094
298,3138,30152
304,3084,30192
360,3268,29958
366,3223,30004
384,3165,30038
448,3261,29860
458,3062,30022
480,3078,30032
544,3293,29756
552,3056,29992
560,3358,29668
560,3383,29648
560,3384,29649
560,3420,29606
564,3330,29702
576,3444,29574
576,3572,29448
576,3604,29419
576,3631,29392
584,3491,29524
584,3682,29332
588,3544,29468
592,3488,29514
592,3564,29440
592,3624,29382
592,3654,29349
596,3312,29687
604,3485,29508
608,3746,29245
608,3784,29200
608,3794,29197
612,3412,29573
616,3696,29284
624,3038,29936
624,3714,29256
632,3812,29146
632,3856,29106
632,3921,29028
632,3931,29035
640,3543,29413
644,3406,29544
648,3016,29934
652,4050,28895
656,4128,28816
658,3956,28983
664,3805,29124
668,3004,29926
672,3382,29543
672,4044,28883
672,4149,28776
676,3381,29542
676,3853,29064
676,4176,28748
680,3536,29378
680,3686,29233
688,3681,29227
696,4264,28639
696,4354,28546
700,2992,29908
700,3850,29050
704,4135,28755
704,4263,28624
704,4392,28500
704,4399,28488
708,3671,29218
712,4024,28860
720,4466,28410
724,4252,28623
724,4449,28427
726,4496,28378
728,4386,28485
728,4762,28110
732,4790,28077
732,4839,28028
734,4479,28386
736,4552,28304
736,4578,28283
740,3849,29008
744,4434,28420
748,4644,28207
752,4603,28242
756,4495,28338
760,3996,28831
760,4214,28616
768,2982,29838
768,3641,29185
768,3645,29186
784,4924,27886
784,4951,27854
786,4888,27920
788,4477,28335
794,4846,27955
796,3982,28822
800,4991,27803
800,5136,27659
808,5018,27752
808,5086,27700
826,2970,29803
828,4432,28323
834,4171,28595
840,2956,29802
848,5167,27582
848,5752,26976
852,5344,27401
856,5300,27440
864,5482,27244
864,5692,27044
868,5224,27498
868,5374,27336
876,3975,28742
878,2922,29800
884,4844,27868
886,4431,28282
892,5850,26855
896,5257,27432
896,5672,27022
896,5739,26948
898,3522,29178
912,2888,29797
920,5864,26808
928,5373,27293
928,5468,27200
952,6059,26582
952,6100,26547
956,4831,27811
960,5924,26715
964,6296,26338
966,6054,26550
966,6124,26492
968,2864,29764
968,5904,26712
976,4825,27795
990,5879,26707
996,4800,27788
1000,2856,29733
1016,6534,26050
1016,6692,25891
1024,6684,25872
1032,4780,27786
1040,6591,25960
1050,6854,25691
1056,5360,27184
1056,6960,25572
1056,7048,25481
1072,7128,25378
1074,5621,26896
1088,4346,28152
1088,6448,26056
1088,6900,25588
1096,3518,28982
1120,7795,24670
1124,7568,24903
1136,7911,24468
1146,6435,26018
1152,7748,24656
1168,7494,24895
1172,7275,25144
1174,5878,26544
1184,6810,25556
1208,4752,27613
1210,2830,29541
1238,8040,24308
1248,7472,24871
1260,8649,23690
1264,8202,24131
1280,7249,25048
1280,8164,24139
1284,6788,25520
1308,9314,22972
1318,6772,25507
1328,9679,22586
1336,9208,23052
1336,9330,22932
1344,9565,22640
1352,6767,25476
1352,8262,23984
1352,9571,22648
1360,9268,22956
1362,8107,24107
1368,7612,24610
1376,6736,25460
1408,8892,23280
1408,9776,22406
1424,4749,27422
1448,10116,22019
1454,6708,25430
1472,9560,22568
1488,10236,21872
1496,8876,23223
1504,9659,22426
1520,8860,23215
1544,9651,22374
1576,10544,21468
1582,5616,26388
1600,8016,23960
1600,8024,23976
1600,10690,21248
1632,10626,21324
1640,5602,26352
1648,10520,21420
1696,10795,21080
1728,12024,19824
1730,10775,21066
1734,8675,23191
1768,12258,19572
1768,13596,18192
1776,10930,20882
1824,7885,23880
1824,10769,20984
1824,13008,18765
1832,6425,25328
1856,12848,18894
1860,12512,19196
1864,6376,25324
1934,13744,16544
1952,12410,19178
1984,12112,19492
2016,13964,16801
2024,13972,16802
2040,13978,16804
2048,12363,19176
2080,13998,16820
2080,14000,16822
2088,4324,27154
2096,4326,27164
2124,14592,16852
2136,10440,20850
2152,10446,20976
2154,9182,22123
2158,7467,23804
2336,12111,19108
2344,9136,22115
2400,7442,23758
2400,12109,19088
2400,14001,16824
2400,14008,17136
2416,12104,19080
2420,12004,19067
2422,12022,19071
2448,9128,22011
2472,10304,20774
2560,14004,16830
2720,14006,16836
2752,10156,20679
2784,13982,16805
2784,13988,16806
2784,13990,16808
2784,13997,16816
2792,13991,16809
2792,13992,16813
2792,13993,16814
2796,8624,20671
2798,2798,26331
2798,8655,21987
2802,2820,27153
1912,1930,11424,11692
1914,2796,6322,20647
1930,2796,11696,11764
2792,2792,2796,20496
