10197,18338
96,2876,26830
96,2907,26808
160,2848,26798
196,2830,26794
250,2821,26751
256,2796,26768
268,2792,26754
288,2778,26748
288,2790,26701
300,2791,26728
392,2750,26674
404,2716,26697
434,2714,26671
480,2687,26652
496,2736,26590
496,2928,26397
504,2741,26576
504,2926,26392
508,3128,26186
512,2644,26665
512,2872,26439
512,2972,26337
512,2987,26324
512,3067,26241
512,3132,26172
520,2924,26380
520,3044,26260
524,2698,26601
524,3257,26032
526,3192,26104
528,3147,26145
536,3443,25840
536,3568,25716
536,3574,25714
536,3584,25698
536,3636,25649
538,2697,26589
540,3415,25867
544,3608,25666
544,3655,25620
546,3451,25827
548,3481,25794
548,3546,25730
552,3706,25552
552,3731,25535
556,3525,25727
556,3654,25595
556,3688,25570
560,3428,25826
564,3184,26076
564,3362,25896
568,3034,26219
576,3023,26218
576,3169,26072
580,2922,26320
584,3728,25512
584,3789,25442
588,3166,26068
592,3757,25468
596,3335,25890
600,3009,26215
600,3334,25887
600,3898,25322
604,3869,25349
608,3165,26049
608,3508,25693
608,3754,25455
608,3834,25378
612,2633,26572
624,2629,26570
624,4002,25183
624,4048,25151
624,4093,25084
628,3826,25370
632,3740,25439
632,3912,25279
632,3956,25226
640,3299,25876
652,4172,24997
652,4334,24837
656,3826,25340
656,4023,25144
658,2626,26535
664,4304,24852
666,4197,24958
668,3124,26027
680,4088,25055
682,3112,26026
688,2607,26526
688,4081,25052
688,4160,24976
692,4496,24620
694,4340,24789
696,4237,24890
696,4498,24626
704,4058,25050
704,4157,24956
704,4368,24741
706,3682,25424
708,3292,25823
720,2603,26494
720,4572,24530
720,4585,24514
720,4715,24388
728,4748,24344
730,4656,24432
732,4151,24936
740,4755,24326
744,4908,24167
744,5029,24048
748,4642,24430
750,2584,26488
756,4568,24497
764,4445,24610
768,2576,26478
772,4778,24272
776,4441,24600
778,2564,26477
784,2562,26476
792,4436,24592
792,5091,23940
794,3006,26023
796,2561,26464
800,5284,23731
800,5360,23640
802,4816,24194
804,3982,25026
808,3005,26008
828,5183,23810
830,5026,23968
838,5482,23492
846,5172,23794
848,4426,24537
864,5160,23791
864,5546,23408
864,5636,23314
864,5653,23306
868,2526,26430
880,5773,23170
880,6251,22676
884,6122,22808
886,6106,22832
888,5577,23352
896,5840,23041
896,5848,23068
896,5981,22897
908,5528,23298
912,4407,24491
912,5562,23332
936,5543,23330
940,4705,24179
942,3466,25416
950,4360,24476
960,2520,26317
976,2522,26318
992,3980,24845
1000,6292,22530
1004,2498,26314
1004,4694,24119
1014,6311,22498
1018,6463,22323
1024,5079,23715
1032,6229,22562
1036,3975,24805
1048,6696,22069
1056,6210,22546
1072,7124,21626
1080,6456,22288
1080,7984,20742
1084,6202,22538
1084,6331,22402
1084,7472,21265
1092,5466,23266
1092,7628,21099
1104,7582,21137
1106,7817,20880
1108,6628,22088
1108,7056,21642
1108,7248,21448
1114,6834,21876
1120,3288,25410
1130,5442,23250
1152,6822,21800
1152,8115,20536
1154,6186,22482
1168,5434,23192
1184,5014,23620
1208,9444,19156
1212,8656,19956
1212,8948,19646
1212,8976,19632
1216,6576,22021
1220,3282,25317
1220,5426,23173
1236,8720,19866
1236,9360,19205
1240,9360,19208
1244,8482,20087
1250,8302,20272
1256,5414,23154
1262,9562,18951
1266,5412,23137
1280,5400,23133
1292,7241,21276
1312,9342,19120
1320,9061,19376
1328,7752,20726
1344,6082,22386
1360,7161,21273
1364,6074,22374
1392,6066,22351
1408,7152,21264
1408,8248,20167
1424,10804,17589
1424,10848,17552
1426,10501,17893
1430,8228,20135
1446,7133,21233
1472,6054,22276
1512,11529,16782
1514,11184,17080
1516,9943,18350
1520,9672,18618
1536,11104,17176
1568,7570,20676
1608,5964,22251
1640,11901,13680
1648,12462,15696
1656,10921,17225
1696,12024,14752
1728,8075,20016
1760,12408,14913
1768,12420,14914
1784,13056,14952
1812,12432,15536
1824,8049,19928
1856,8856,19092
1864,4346,23605
1888,12424,14915
1912,12425,14916
1920,10881,16932
1988,10886,16944
2016,10870,16868
2038,8851,18932
2096,12426,14920
2098,10858,16864
2112,12427,14922
2144,12428,14924
2144,12694,14928
2152,10208,16432
2168,10256,16514
2172,10276,16721
2174,10364,16762
2176,10552,16769
2182,10606,16781
2208,10736,16798
2208,10748,16817
2480,7127,18608
2484,2484,21776
2484,4346,22227
3281,3895,21936
1614,2480,6984,18492
1622,2480,7001,18548
1632,2464,10204,11792
2336,2464,2464,18232
