9226,9363
56,1885,17340
64,1868,17364
92,1834,17334
96,1844,17336
160,1827,17308
224,1765,17297
254,1721,17296
284,1720,17289
288,1764,17242
292,1748,17252
302,1758,17231
304,1720,17272
312,1779,17204
320,1808,17163
320,1832,17139
320,1914,17060
320,1936,17035
320,1955,17016
324,1782,17190
328,1803,17162
332,1994,16970
332,2096,16866
334,2040,16917
334,2085,16876
336,1983,16976
336,2026,16932
340,1714,17240
344,2004,16948
344,2196,16756
344,2203,16742
348,2130,16816
352,1936,17008
352,2148,16795
352,2216,16724
352,2234,16707
352,2325,16616
352,2404,16538
354,2084,16856
354,2159,16776
364,2020,16911
364,2442,16488
368,2248,16678
368,2448,16474
368,2489,16434
368,2543,16370
376,1912,17007
380,2211,16703
384,2456,16456
384,2600,16311
384,2630,16279
384,2736,16172
392,2720,16184
392,2904,15997
396,2386,16507
396,2757,16142
396,2912,15982
396,2924,15965
400,1708,17188
400,1989,16906
404,2900,15989
408,3048,15840
410,2515,16368
416,2376,16500
416,2668,16208
416,2777,16100
416,3056,15820
424,1972,16900
424,3080,15788
424,3240,15632
430,2190,16675
432,2368,16496
432,2616,16245
432,2814,16048
436,1680,17179
436,3106,15752
440,2182,16670
440,3236,15605
448,3031,15816
456,2354,16485
464,1673,17156
464,3484,15344
464,3643,15162
464,3684,15138
468,3138,15688
468,3339,15488
472,3400,15420
476,2896,15922
480,2610,16204
484,1667,17136
496,3132,15667
502,3864,14925
504,2124,16668
508,2890,15898
512,2751,16016
512,3102,15656
512,3122,15661
512,3467,15303
512,3530,15224
520,2352,16420
520,2604,16168
524,1660,17112
528,2104,16653
544,3996,14748
548,2580,16166
550,1640,17105
554,3962,14773
560,1638,17098
576,1636,17084
576,4048,14666
584,4162,14546
592,4496,14197
604,3466,15223
604,4698,13992
608,4385,14302
616,4454,14225
620,4227,14448
624,4648,14024
624,4680,13954
640,3025,15625
640,3446,15208
664,3862,14769
672,1964,16648
672,4851,13768
678,1612,17002
688,4831,13776
688,4892,13688
692,4424,14180
704,3848,14737
714,4408,14169
720,5046,13499
728,4624,13936
736,3824,14736
752,4808,13736
754,3416,15124
758,5296,13242
768,3395,15120
768,5348,13180
768,5384,13116
768,5416,13104
788,4805,13662
792,3801,14664
800,3812,14680
832,5596,12866
844,6624,11827
848,6264,12184
854,4281,14159
856,3329,15108
864,5487,12944
864,6640,11784
864,7232,11188
880,7600,10695
888,7288,11032
896,3312,15076
912,4564,13820
912,5465,12904
928,6390,11948
936,5762,12588
960,6947,11350
966,5928,12382
968,5456,12842
976,3796,14508
1056,1056,9324
1056,6888,11344
1072,7254,10961
1092,5362,12840
1096,8504,9680
1104,7524,10668
1112,6288,11834
1120,2576,15578
1152,5336,12808
1184,6222,9650
1184,8016,9651
1224,8384,9674
1240,8039,9658
1244,8040,9659
1248,6225,11760
1248,8042,9660
1250,6251,11795
1312,8044,9666
1312,8269,9672
1344,5168,12784
1368,2332,15534
1376,2339,15540
1388,2343,15554
1432,7169,10594
1440,4268,13477
1448,4273,13531
1600,6764,10384
1600,8026,9652
1600,8034,9655
1600,8035,9656
1604,6770,10568
1606,2302,15062
1606,4221,13428
1008,1604,3760,12713
1024,1604,3773,12739
1056,1072,5740,9504
1068,1176,6124,9649
