7142,7650
80,1494,14134
96,1528,14082
116,1514,14076
164,1470,14072
164,1480,14062
176,1492,14026
176,1502,14028
184,1468,14046
208,1576,13924
212,1538,13956
228,1556,13922
240,1462,14000
256,1456,13994
256,1596,13852
256,1610,13836
268,1628,13816
270,1450,13992
272,1566,13870
272,1606,13834
272,1656,13782
280,1736,13694
284,1864,13562
288,1592,13832
288,1794,13626
288,1828,13590
292,1682,13738
296,1770,13642
296,1898,13512
300,1646,13764
304,1434,13974
304,1742,13660
304,1848,13556
304,1875,13530
304,1940,13463
312,1918,13480
312,1983,13414
312,1997,13397
320,2050,13334
320,2063,13324
320,2088,13304
328,1996,13388
330,2094,13284
336,1936,13438
336,2120,13254
344,1564,13804
344,2077,13290
352,2022,13333
352,2117,13237
352,2130,13224
352,2164,13193
356,1404,13950
360,1822,13524
360,2168,13177
368,2248,13093
370,2193,13149
374,2262,13074
376,2113,13221
376,2176,13158
380,2364,12962
384,2008,13318
384,2294,13032
392,2349,12969
392,2481,12836
396,2386,12930
396,2534,12782
398,2532,12776
400,2427,12884
400,2442,12868
400,2456,12850
400,2520,12789
408,2101,13202
412,1982,13317
414,2602,12696
416,2684,12610
416,2751,12536
416,2774,12519
418,2586,12708
422,2675,12592
422,2691,12594
424,2437,12834
432,1378,13898
432,2322,12953
448,1368,13896
456,3172,12069
456,3204,12041
458,3128,12121
460,3061,12184
464,2762,12483
464,2984,12264
472,2888,12348
472,3453,11784
476,2812,12424
480,3807,11416
484,3752,11474
486,3368,11852
488,2804,12413
496,3234,11976
496,3642,11573
504,2404,12801
504,3534,11672
504,3821,11380
512,4048,11145
516,3037,12153
516,3636,11559
528,4218,10946
532,4132,11048
534,4042,11129
538,3896,11272
540,3222,11945
548,2661,12503
552,3220,11940
552,4251,10896
560,1964,13186
560,2993,12150
560,4216,10935
576,4248,10882
592,2982,12134
592,3704,11410
596,2372,12735
598,1931,13176
606,4424,10664
608,3161,11929
610,1364,13736
624,3160,11928
624,4164,10921
626,1362,13720
632,4459,10616
632,4764,10314
632,4772,10298
640,3141,11908
640,3148,11919
640,4648,10408
644,2650,12398
668,2648,12386
688,5017,10004
692,5070,9932
704,3612,11394
704,5016,9988
716,4820,10152
716,5150,9840
720,2314,12676
720,3602,11356
720,4108,10866
728,1804,13173
736,2301,12674
760,5580,9370
762,5286,9646
768,3592,11342
768,4072,10854
792,5687,9208
796,5376,9534
800,5160,9709
804,4502,10363
804,4514,10379
816,4026,10840
824,2967,11876
824,2970,11880
832,1716,13124
848,1726,13128
880,4472,10360
880,5998,8833
880,6518,8312
888,6545,8278
890,6284,8518
896,5888,8889
900,2952,11850
912,3981,10788
912,5733,9052
944,5058,9704
952,5721,9036
960,3974,10756
960,6552,8180
1002,6832,7878
1008,5850,8849
1012,5003,9693
1024,7308,7350
1072,2287,12340
1112,5564,9020
1146,6630,7902
1152,5848,8712
1160,4912,9630
1212,6542,7876
1232,6547,7892
1236,6548,7894
1248,1312,13116
1296,6168,7862
1300,6198,7864
1304,5556,8702
1304,6532,7870
1308,2236,11834
1308,3592,10724
1308,4445,9528
2230,5432,7860
3461,3586,7859
320,992,1000,13356
1028,1104,1112,7776
1056,1136,1142,7857
1196,2028,3451,7858
