19109,42080
168,6152,56848
320,5965,56782
320,6118,56726
328,6018,56800
346,5972,56844
360,6008,56792
448,6093,56626
472,5963,56724
512,6167,56472
528,5936,56676
560,5886,56624
616,5889,56656
664,6132,56372
688,6112,56366
688,6128,56352
690,5844,56574
760,6201,56198
800,6200,56168
816,6241,56106
832,6328,56004
856,6260,56048
860,6200,56105
874,5841,56446
888,6342,55905
896,5840,56406
1008,5824,56332
1024,5810,56329
1024,6394,55736
1048,6434,55679
1056,6381,55729
1056,6466,55644
1064,5787,56313
1072,5784,56312
1080,5778,56305
1088,6416,55660
1088,6596,55476
1088,6640,55432
1088,6685,55385
1088,6688,55392
1088,6711,55368
1096,6504,55562
1104,6906,55147
1120,6785,55260
1120,6988,55050
1120,7047,55000
1124,6531,55511
1124,6964,55072
1128,6705,55333
1132,5753,56280
1136,6905,55123
1136,7056,54972
1142,7306,54713
1150,5752,56265
1152,6950,55064
1152,7088,54925
1152,7176,54835
1156,7128,54883
1160,7121,54882
1160,7304,54704
1166,7242,54752
1176,6487,55498
1176,6945,55042
1184,5728,56256
1184,7403,54562
1192,7332,54632
1192,7404,54568
1200,6935,55027
1208,5721,56232
1216,7543,54408
1216,7654,54285
1216,7833,54117
1216,7840,54104
1218,7616,54322
1220,7560,54372
1224,7392,54530
1232,6456,55472
1238,5700,56225
1248,8072,53826
1248,8080,53840
1248,8121,53792
1248,8414,53497
1264,7986,53916
1276,8156,53722
1276,8401,53488
1280,7483,54402
1280,8061,53817
1280,8113,53769
1284,7202,54681
1292,7388,54482
1296,6412,55460
1296,6871,54995
1304,8752,53087
1312,5670,56176
1312,7174,54672
1312,8531,53308
1336,5668,56164
1340,9440,52371
1344,9148,52628
1344,9264,52504
1344,9364,52440
1352,9024,52757
1352,9048,52760
1356,8832,52933
1360,6842,54962
1364,5638,56161
1372,8300,53496
1380,7896,53890
1380,8838,52948
1388,7888,53889
1408,8524,53234
1408,9564,52196
1408,10350,51384
1408,10792,50912
1414,9736,52016
1416,7084,54668
1424,7874,53866
1424,9864,51872
1432,9804,51932
1436,10318,51412
1444,8282,53436
1456,10416,51284
1460,5602,56103
1464,8999,52704
1472,7073,54623
1480,8976,52696
1480,9848,51819
1504,10553,51107
