16884,42656
112,6096,56044
176,6124,55969
200,6076,55982
224,6011,55928
256,6056,55942
384,5956,55888
480,5896,55868
520,5886,55857
530,6177,55561
564,5872,55777
636,6224,55393
660,6252,55358
664,6301,55306
672,6248,55340
688,5856,55728
704,5806,55678
704,5841,55704
704,6213,55308
808,6208,55248
812,5804,55632
864,6206,55200
896,5762,55576
896,5780,55584
960,6359,54924
974,6368,54928
980,5704,55569
1010,5701,55553
1024,6334,54912
1032,6442,54792
1052,6488,54729
1056,5697,55516
1056,6587,54624
1064,6642,54560
1068,6432,54772
1082,6516,54674
1088,6466,54711
1088,6668,54514
1088,6808,54369
1088,6836,54347
1096,5686,55484
1104,6672,54488
1104,6706,54460
1116,6880,54276
1118,6608,54546
1118,7200,53937
1120,6864,54288
1128,7093,54048
1134,5673,55465
1136,7160,53974
1138,7030,54104
1152,7241,53876
1152,7290,53825
1152,7430,53688
1152,7467,53652
1152,7576,53526
1152,7584,53528
1160,5660,55450
1160,6882,54226
1168,7318,53761
1168,7376,53712
1176,7013,54076
1184,5636,55437
1184,6605,54480
1200,7603,53456
1200,7709,53358
1208,7568,53494
1216,7918,53136
1216,7974,53076
1224,8269,52774
1232,8228,52792
1234,7912,53124
1240,7808,53216
1242,7188,53838
1248,7004,54014
1256,8308,52706
1260,8056,52950
1264,7798,53200
1280,9048,51922
1280,9089,51826
1280,9104,51832
1284,8416,52568
1292,8626,52351
1296,7312,53664
1296,7770,53192
1312,8706,52212
1312,8836,52090
1312,8962,51954
1316,8712,52228
1320,8512,52440
1324,8486,52436
1328,6586,54352
1340,8404,52528
1344,7302,53612
1360,9226,51676
1360,9528,51376
1376,9464,51416
1388,9211,51672
1392,9324,51544
1404,5601,55264
1408,5600,55263
1408,9608,51243
1418,9588,51266
1424,9608,51234
1432,7684,53149
1440,9306,51522
1440,9456,51367
1448,6512,54306
1456,9568,51232
1460,5592,55210
1460,8404,52404
1472,5587,55208
1484,9562,51219
1488,8391,52384
1504,7668,53092
1504,9648,51106
1504,9712,51056
1520,9548,51202
1520,9894,50848
1528,7152,53583
1528,9506,51184
1528,9847,50876
1540,8388,52336
1552,9512,51196
1556,7652,53060
1568,8372,52312
1568,8386,52315
1580,5552,55132
1592,10790,49888
1600,7632,53023
1600,10724,49944
1632,10452,50185
1632,10993,49632
1640,10280,50345
1648,11422,49184
1652,8312,52308
1656,11288,49328
1658,11192,49326
1664,10444,50158
1672,10800,49732
1672,10912,49596
1672,10947,49630
1676,5498,55098
1678,10809,49748
1696,10104,50457
1724,7628,52918
1728,8304,52210
1728,10098,50402
1740,5456,55061
1760,8299,52203
1776,11502,48984
1788,8288,52196
1792,6947,53520
1792,11398,49081
1792,11532,48944
1808,5413,55050
1816,10592,49856
1816,11668,48784
1824,9264,51180
1832,12107,48324
1836,11966,48470
1838,11860,48566
1842,11824,48598
1844,11760,48630
1848,11684,48728
1856,11371,49025
1860,5394,55016
1864,8204,52192
1888,11168,49137
1888,11370,49008
1904,10073,50241
1908,9248,51084
1920,5340,54988
1920,5347,54992
1968,12132,48166
1976,12530,47745
2014,12512,47689
2016,11758,48436
2016,12312,47914
2048,10592,49584
2048,11080,49136
2080,5329,54861
2088,9244,50928
2104,12656,47512
2112,5328,54832
2112,13472,46684
2120,12782,47328
2126,12496,47647
2144,9202,50920
2156,5288,54826
2176,5278,54817
2176,13152,46934
2188,13848,46141
2198,13870,46176
2206,12624,47392
2208,9191,50820
2208,12408,47640
2224,6510,53510
2256,5196,54816
2272,13485,46496
2276,11056,48928
2284,9174,50802
2300,14224,45726
2304,11616,48352
2304,14192,45758
2328,14604,45326
2328,14700,45232
2336,13790,46091
2348,11041,48856
2392,15201,44652
2400,14596,45264
2420,15561,44285
2430,15398,44444
2432,15557,44268
2436,15456,44284
2448,15240,44556
2480,14991,44748
2496,15004,44764
2504,13762,45912
2556,8952,50744
2592,12296,47384
2600,13004,46668
2624,15438,44192
2624,15582,44033
2688,16176,43401
2696,15758,43798
2720,15929,43605
2736,13752,45784
2752,15904,43574
2752,15917,43601
2752,16138,43366
2752,16281,43232
2756,14860,44636
2772,12189,47280
2816,17004,42393
2816,17528,41884
2844,16208,43173
2864,15370,43992
2880,12153,47238
2912,16193,43165
2920,17998,41350
2936,18832,40455
2936,19412,39802
2942,17438,41868
2952,13640,45672
2952,14780,44540
2968,16400,42896
2996,19216,40032
3000,18896,40343
3038,16352,42857
3040,13600,45630
3056,15352,43864
3072,20379,38820
3072,21472,37707
3076,20894,38290
3084,19556,39632
3110,15328,43830
3110,21248,37883
3116,20325,38812
3136,20832,38208
3148,19679,39440
3182,17368,41716
3200,17358,41708
3232,20471,38568
3238,22867,36144
3254,17330,41688
3264,18726,40224
3264,22468,36512
3328,20162,38776
3392,17312,41560
3400,10576,48292
3424,10564,48276
3424,22938,35888
3440,8186,50640
3456,22961,35824
3464,20160,38514
3468,17289,41504
3472,10538,48260
3484,17259,41446
3488,17272,41478
3616,23146,35336
3636,23232,35348
3648,17132,41430
3648,23072,35552
3654,17160,41432
3712,18608,39952
3744,14684,43750
3744,14764,43757
3744,19986,38482
3840,19906,38466
3904,18543,28144
3904,27264,30912
3964,8144,50152
3964,25312,31138
3980,18592,39696
3996,16996,41256
4028,19842,38386
4064,25808,31139
4074,25872,31140
4094,25952,31968
4160,22682,35332
4288,22664,35316
4352,19826,38082
4372,25928,31144
4384,25936,31146
4384,25936,31148
4416,22614,35208
4480,25940,31152
4480,25942,31160
4488,25944,31184
4488,25945,31200
4496,25946,31248
4520,25947,31312
4528,25948,31376
4532,22568,35138
4572,24176,33296
4584,22452,35058
4590,22456,35080
4608,19768,37819
4800,21776,34592
4992,13443,43744
4992,22444,34833
5120,22000,34721
5152,19592,37280
5152,22064,34750
5152,22304,34754
5184,5184,42608
5188,12996,42841
6432,6432,47216
3904,5184,5184,42737
3904,5188,5188,42832
5184,3936,19548,31137
5184,18181,18275,18400
