22432,39506
22736,39494
16,6448,58576
192,6322,58568
266,6257,58556
276,6242,58530
282,6252,58550
384,6111,58358
384,6413,58272
404,6176,58502
440,6214,58420
464,6162,58400
496,6168,58408
560,6124,58376
608,6112,58364
640,6088,58236
688,6096,58258
768,6076,58216
820,6062,58204
832,5968,58148
848,6056,58184
896,6014,58150
996,6368,57704
1020,5964,58102
1024,6404,57634
1056,6524,57506
1076,5940,58066
1088,6573,57416
1088,6728,57268
1088,6792,57201
1088,6812,57184
1088,6825,57168
1096,6402,57588
1104,6568,57410
1104,6624,57360
1104,6868,57104
1120,6564,57404
1120,7242,56714
1124,7057,56899
1128,6562,57393
1136,6996,56952
1136,7242,56700
1136,7292,56656
1136,7328,56621
1144,5928,58016
1152,7122,56800
1152,7373,56542
1156,6694,57234
1164,7056,56866
1168,6693,57224
1168,6854,57058
1184,6840,57057
1184,6982,56916
1184,7491,56398
1192,6672,57218
1192,7355,56539
1200,6670,57212
1200,7462,56420
1208,7598,56280
1216,7760,56099
1216,7841,56016
1216,7862,56004
1216,8120,55752
1216,8179,55679
1220,7604,56263
1224,7512,56352
1228,7352,56508
1240,7572,56272
1242,5854,57992
1248,8112,55712
1250,7840,55997
1260,8036,55792
1276,8296,55515
1280,8323,55472
1280,8342,55452
1280,8416,55392
1282,7307,56499
1288,6946,56852
1296,5822,57964
1296,8639,55144
1308,8456,55323
1312,8108,55654
1312,8696,55078
1312,8768,55008
1314,7640,56134
1320,6614,57154
1328,8382,55376
1336,9182,54560
1338,9022,54723
1344,8703,55030
1344,9016,54704
1344,9121,54608
1360,8896,54814
1364,5788,57936
1368,5782,57932
1368,8752,54952
1376,8216,55494
1388,6944,56754
1392,7568,56120
1392,9424,54266
1408,8872,54807
1408,9582,54083
1410,9524,54143
1416,9008,54660
1424,9199,54456
1440,5768,57874
1440,7272,56376
1440,7548,56088
1448,6608,57032
1456,9348,54280
1470,9688,53924
1488,9523,54074
1492,9632,53962
1498,9928,53661
1504,9704,53876
1504,9957,53600
1512,9520,54051
1512,9768,53808
1516,5736,57824
1520,5740,57826
1536,5728,57804
1536,9931,53594
1568,8692,54806
1572,5716,57800
1594,10352,53141
1596,10565,52926
1600,10033,53448
1600,10582,52896
1600,10776,52695
1616,5694,57776
1624,8096,55364
1632,10912,52524
1634,10138,53310
1648,8656,54772
1664,10849,52560
1664,10939,52448
1664,10986,52432
1668,10356,53049
1676,10208,53192
1680,8624,54771
1712,9668,53700
1712,11296,52071
1712,11324,52032
1718,5610,57757
1726,10984,52362
1728,10654,52688
1728,10902,52394
1736,5600,57698
1740,5608,57740
1760,5604,57699
1792,8015,55275
1792,10576,52668
1800,8604,54656
1824,7228,56036
1832,8599,54645
1838,8000,55240
1852,12042,51191
1856,12027,51184
1856,12128,51079
1856,12897,50300
1864,11696,51508
1888,12064,51130
1896,11824,51364
1896,13424,49724
1902,13336,49836
1904,12887,50282
1912,9492,53680
1920,12324,50840
1928,5576,57581
1936,9483,53668
1936,11444,51680
1968,12056,51056
1984,13384,49718
1984,13488,49613
1990,10899,52168
2006,5564,57504
2024,13600,49449
2048,14172,48840
2064,13758,49264
2064,13878,49136
2080,13730,49257
2080,13856,49124
2088,12320,50657
2112,9462,53498
2112,13544,49401
2132,13308,49625
2144,5490,57442
2160,10824,52104
2168,14301,48614
2178,14395,48480
2186,14244,48582
2192,13798,49096
2196,13296,49561
2256,11880,50928
2280,9308,53492
2304,15120,47658
2316,14844,47927
2324,15676,47078
2334,9274,53480
2336,15887,46856
2336,16462,46284
2368,16668,46025
2368,17296,45389
2368,17304,45414
2400,15981,46664
2404,15368,47276
2408,15010,47657
2464,17384,45238
2496,13205,49376
2512,17416,45147
2536,10476,52064
2560,14530,47996
2560,16542,45984
2560,17072,45446
2576,18510,44000
2576,18876,43636
2578,9120,53384
2586,19168,43245
2606,18814,43624
2614,18464,43768
2624,10448,52011
2624,17809,44652
2638,18210,44232
2640,13200,49243
2656,17760,44368
2656,17924,44496
2656,18203,44200
2656,18478,43808
2664,17768,44624
2672,17296,45092
2688,11730,50656
2704,16457,45913
2744,14527,47815
2748,16422,45753
2752,11634,50632
2756,11675,50638
2772,10329,51963
2848,15264,46960
2860,13193,49032
2878,11600,50592
2904,15208,46920
2904,15216,46952
2928,13152,49008
2968,19033,43062
3000,20832,41232
3008,20024,41916
3008,20200,41760
3008,20610,41392
3024,19808,42249
3024,19888,42144
3040,15144,46832
3056,13073,48928
3128,15128,46816
3136,13033,48912
3176,20934,40976
3194,20344,41520
3200,19316,42514
3222,16417,45430
3272,23954,37856
3276,23072,38716
3276,23528,38240
3282,22144,39650
3284,21728,39988
3290,21482,40157
3292,20924,40865
3296,16370,45334
3308,16398,45382
3328,8569,53173
3328,16382,45341
3392,18430,43238
3424,20777,40856
3456,25760,35724
3472,23808,37808
3472,25022,36544
3520,24124,37408
3552,12941,48534
3640,5450,55972
3640,18397,43022
3648,5456,55974
3678,28608,32688
3684,18390,43013
3692,27122,34208
3700,5444,55928
3760,24000,37328
3776,21330,39970
3806,12810,48438
3904,23841,37104
3904,23942,37160
3936,19760,41376
3968,21295,39794
3968,21306,39801
4032,23881,37128
4064,21202,39753
4154,26320,32256
4176,26400,32545
4184,21162,39714
4228,23791,37064
4236,26700,32546
4260,26720,32548
4264,27304,33440
4416,27024,32549
4480,23688,36872
4544,27056,32552
4608,8562,51912
4608,27096,32553
4640,16113,44328
4656,27102,32554
4656,27104,32556
4688,27106,32557
4736,19664,40680
4736,23670,36664
4756,27111,32560
4766,27113,32562
4774,27114,32570
4784,27116,32584
4788,27121,33056
4824,23495,36541
5120,7998,51906
5120,23433,36481
5232,27117,32608
5248,23368,36433
5312,27120,32624
5376,23152,36140
5376,23288,36346
5408,23304,36362
5422,14526,42974
5422,15968,42976
7979,12716,42918
3676,5422,11581,42878
5408,3856,22752,22896
5408,3892,23044,31412
5416,5420,5420,39522
5416,5420,5420,39698
