30520,30790
31744,32065
40,6368,57712
92,6356,57676
352,6096,57672
448,5955,57636
448,5980,57640
448,5982,57648
448,6045,57622
448,6070,57596
640,5928,57538
640,5929,57548
684,5902,57512
752,5872,57504
770,5864,57488
788,6112,57228
832,5704,57402
832,5820,57470
848,5736,57430
856,5756,57444
970,5712,57416
1024,6120,56983
1024,6182,56912
1056,6224,56846
1056,6256,56808
1070,5682,57376
1072,6250,56800
1072,6296,56752
1072,6328,56724
1080,6172,56875
1084,6349,56692
1088,6366,56672
1088,6379,56656
1088,6515,56520
1088,6552,56475
1088,6579,56450
1088,6591,56435
1096,6240,56792
1096,6535,56490
1104,6512,56511
1108,6611,56408
1112,6728,56287
1120,6672,56336
1120,6808,56195
1120,6816,56191
1128,5668,57332
1136,6578,56403
1136,6671,56311
1136,6814,56171
1136,6903,56084
1144,6439,56544
1152,5664,57310
1152,6736,56238
1152,6889,56080
1160,6432,56536
1168,6992,55968
1180,6994,55954
1184,6708,56235
1184,6964,55976
1184,7183,55760
1190,7074,55863
1192,7276,55642
1196,7221,55696
1208,6411,56508
1212,7217,55688
1216,5608,57296
1216,6655,56219
1216,6988,55914
1216,7048,55840
1216,7056,55845
1216,7124,55772
1232,5606,57288
1232,6160,56719
1232,6161,56735
1264,7354,55509
1264,7722,55136
1264,7880,54964
1264,7904,54952
1264,8000,54862
1268,7644,55216
1272,6388,56468
1272,7576,55252
1274,7440,55404
1280,6648,56188
1282,5572,57264
1302,7520,55306
1306,8872,53947
1312,8896,53920
1312,8976,53816
1312,9089,53700
1314,8864,53939
1318,8600,54174
1320,5552,57256
1322,8116,54690
1322,8604,54192
1326,8485,54292
1328,5550,57248
1328,8491,54296
1332,8216,54564
1336,7866,54920
1344,6631,56144
1344,6632,56152
1344,7200,55580
1356,8906,53866
1360,5536,57224
1376,8200,54537
1376,8204,54545
1376,9204,53536
1380,6620,56125
1384,7688,55056
1392,7684,55049
1392,8862,53812
1408,7197,55520
1408,8323,54396
1412,7664,55048
1424,7192,55512
1424,7656,55041
1436,8304,54384
1438,6615,56072
1442,7987,54680
1444,7993,54688
1448,5528,57148
1468,9500,53142
1472,8856,53792
1472,9067,53588
1472,9248,53392
1492,9184,53452
1504,9640,52978
1504,9664,52956
1512,9986,52626
1514,9839,52732
1520,7573,55035
1520,9316,53249
1520,9494,53088
1528,5494,57104
1528,8298,54280
1536,7567,55024
1544,5484,57096
1568,9952,52596
1572,9831,52704
1596,10164,52363
1598,9928,52592
1600,9294,53224
1616,10102,52400
1632,5444,57046
1632,10088,52355
1632,10300,52146
1632,10524,51932
1656,6944,55493
1664,5422,57015
1680,5424,57016
1696,10656,51772
1698,8836,53584
1712,10912,51500
1712,11048,51368
1728,10882,51426
1728,11404,50888
1736,9805,52544
1752,5416,56956
1760,5412,56950
1760,8816,53526
1760,9811,52552
1772,7426,54916
1792,10888,51434
1812,9776,52498
1816,8788,53512
1856,11800,50452
1856,12144,50100
1856,12248,50005
1896,12248,49976
1916,13694,48501
1920,10796,51408
1920,11920,50272
1920,12612,49584
1920,12756,49448
1920,13172,49034
1920,13600,48592
1936,8692,53496
1936,9704,52488
1952,13160,49012
1960,14576,47520
1962,8672,53494
1966,13584,48527
1966,14424,47704
1968,13023,49094
1996,10768,51360
2000,5384,56714
2032,14204,47856
2040,13688,48344
2056,10705,51336
2104,14553,47346
2112,11771,50232
2112,12896,48964
2112,12976,48992
2112,13001,48996
2112,14156,47840
2112,14561,47404
2116,10683,51328
2128,11680,50198
2136,11745,50200
2140,9656,52331
2144,11751,50228
2152,10664,51309
2160,10648,51283
2172,9616,52323
2192,9612,52256
2272,15176,46672
2304,9586,52232
2304,10608,51216
2304,14112,47698
2304,15684,46112
2312,6344,55469
2320,15382,46368
2328,11654,50146
2348,15386,46376
2350,15072,46697
2352,10586,51180
2352,14533,47212
2368,11610,50144
2400,16002,45674
2432,10582,51104
2448,14527,47148
2496,11592,50035
2496,16224,45384
2504,15682,45928
2512,11588,50027
2520,9568,52040
2520,10510,51080
2544,17112,44457
2560,16800,44688
2560,17452,43960
2560,17508,44000
2586,16808,44704
2600,16208,45316
2604,16068,45380
2624,12668,48828
2688,8180,53223
2688,15628,45776
2736,11552,49840
2736,16449,44926
2784,17802,43536
2796,12644,48672
2824,15624,45666
2840,18480,42792
2880,21216,39859
2880,21691,39552
2904,20074,41080
2906,19644,41577
2910,19208,42000
2910,19876,41337
2944,17888,43234
2944,18448,42720
3024,20768,40314
3040,13986,47084
3072,20480,40564
3076,19984,41056
3120,23320,37600
3120,23680,37148
3128,22744,37968
3132,17784,43188
3200,16421,44485
3200,22112,38688
3232,16413,44473
3272,20472,40290
3274,18993,41805
3278,17700,43124
3282,5380,55463
3282,16381,44425
3288,16393,44433
3328,16371,44391
3360,13940,46824
3444,24672,36006
3480,25312,35312
3488,18912,41697
3496,15312,45314
3520,23438,37086
3520,24016,36446
3536,23480,37100
3552,20225,40284
3680,26672,33760
3712,28160,32168
3720,25642,34528
3738,18873,41504
3758,23177,36988
3774,23200,37004
3798,17414,42892
3840,18793,41481
3920,19936,40248
3968,28512,30864
4032,19866,40224
4096,19846,40176
4352,26728,32992
4496,26724,32804
4504,23171,36438
4520,23142,36406
4520,23166,36408
4596,23132,36398
4608,25952,32069
4608,26108,32072
4612,26164,32073
4620,26717,32290
4620,26721,32676
4624,26722,32740
4628,23078,36325
4632,23110,36366
4634,23112,36372
4656,23102,36358
4684,12582,46665
4688,12640,46689
4800,8144,51074
