28512,29569
20,5892,53218
96,5851,53186
156,5844,53136
192,5819,53122
212,5812,53112
336,5741,53041
384,5704,52930
384,5762,52964
384,5804,52945
384,5842,52898
416,5728,52962
524,5568,52761
544,5697,52882
576,5574,52802
624,5682,52816
640,5602,52809
644,5617,52813
832,5537,52738
832,5904,52397
844,5541,52744
864,5947,52322
880,5521,52733
880,5924,52320
896,5513,52704
896,5520,52713
896,5972,52247
958,5494,52676
968,5492,52665
984,6084,52068
988,5965,52180
992,6010,52132
992,6064,52080
1000,6004,52130
1014,5473,52644
1024,6201,51888
1024,6342,51761
1024,6343,51768
1024,6368,51744
1024,6576,51526
1028,6179,51926
1030,6152,51940
1032,5461,52642
1036,5457,52637
1052,6680,51402
1052,6763,51320
1054,6384,51697
1056,5456,52624
1056,6772,51306
1056,6800,51280
1056,7054,51021
1064,6520,51552
1066,6738,51332
1070,6897,51168
1072,5441,52617
1080,6508,51543
1080,7072,50981
1086,6692,51357
1086,6813,51236
1088,7046,51001
1088,7805,50224
1088,7884,50144
1090,7718,50322
1090,7728,50315
1092,7666,50375
1094,5433,52609
1096,7440,50600
1096,7682,50338
1102,7020,51012
1106,7301,50720
1106,7520,50476
1112,6893,51128
1116,7146,50865
1122,6797,51210
1132,5414,52589
1136,7134,50861
1138,5412,52585
1148,6781,51206
1148,7951,50034
1152,5410,52569
1152,7964,50018
1160,8031,49938
1160,8044,49922
1162,7916,50050
1164,7128,50840
1176,5408,52548
1176,8106,49848
1184,8156,49771
1188,8076,49872
1192,7351,50584
1192,7911,50032
1192,8042,49864
1196,6736,51204
1200,5388,52546
1208,7346,50578
1214,7334,50562
1216,6688,51188
1238,5353,52544
1264,8544,49314
1266,8186,49676
1268,5337,52528
1280,5336,52513
1280,8400,49452
1288,8488,49356
1296,5334,52493
1296,8231,49595
1296,9008,48822
1312,8128,49692
1320,8123,49691
1320,8731,49072
1328,6688,51114
1336,9116,48680
1344,5296,52489
1344,9551,48236
1352,9736,47958
1352,9744,48012
1354,9648,48134
1358,9659,48108
1360,9084,48688
1362,8996,48736
1378,5282,52450
1378,6628,51108
1408,9499,48204
1408,9656,48054
1424,9326,48352
1428,6616,51088
1440,5273,52418
1440,8728,48952
1460,9888,47783
1464,8026,49644
1468,10227,47424
1470,9318,48348
1472,8002,49643
1472,9952,47712
1504,10406,47214
1512,10152,47472
1516,8681,48928
1516,9938,47675
1532,6612,50992
1532,10780,46816
1536,7996,49580
1536,10272,47328
1536,10620,46968
1560,5271,52301
1568,7991,49570
1576,8678,48880
1576,10700,46854
1582,7986,49567
1590,11248,46220
1592,11120,46339
1592,11228,46316
1592,11240,46300
1594,7979,49563
1594,11128,46365
1596,11040,46492
1596,11138,46396
1598,10874,46650
1604,10573,46952
1604,10764,46758
1606,7975,49554
1608,7974,49548
1608,8672,48856
1620,10960,46509
1620,11064,46449
1624,7960,49547
1624,10340,47144
1636,5202,52296
1664,6483,50961
1664,8598,48854
1696,12468,44960
1696,12784,44590
1712,11896,45490
1712,12624,44768
1716,11671,45656
1720,7876,49538
1728,9461,47946
1728,11697,45668
1732,10665,46732
1736,5174,52226
1746,11374,46000
1792,5161,52164
1816,11100,46204
1816,12935,44312
1832,5148,52155
1832,8570,48726
1844,12772,44512
1848,8568,48719
1848,12122,45133
1860,7752,49506
1864,5146,52104
1892,14448,42784
1898,7736,49499
1910,8560,48659
1920,13556,43647
1920,13762,43332
1920,14240,42876
1920,14571,42622
1930,12909,44248
1936,12000,45101
1984,7602,49490
2016,5081,52036
2048,7600,49484
2060,14662,42390
2064,14678,42392
2080,5032,52010
2104,14608,42328
2104,14816,42206
2114,9276,47739
2120,5014,52001
2132,7586,49410
2136,5008,51979
2152,7574,49389
2152,12751,44230
2176,4962,51972
2208,15380,41542
2208,15484,41430
2224,16184,40684
2240,9238,47643
2240,14758,42136
2240,15404,41376
2272,12692,44134
2304,9170,47560
2332,4926,51844
2338,4934,51856
2368,9196,47568
2424,12612,44056
2464,10540,46124
2480,17796,38816
2484,17504,38992
2496,16992,39490
2500,16816,39720
2512,12588,44036
2512,16629,39992
2520,15960,40652
2528,16466,40084
2536,16482,40088
2552,12568,44016
2580,15910,40556
2586,12502,44004
2688,18240,38176
2704,14560,41831
2716,10523,45864
2752,18655,37698
2752,19216,37128
2784,18534,37788
2788,15884,40460
2800,12422,43908
2820,19696,36593
2824,18629,37682
2832,14495,41808
2880,18458,37778
2880,21108,35120
2884,17882,38368
2898,12408,43824
2912,18787,37332
2912,20016,36080
2912,21285,34882
2932,14421,41696
2932,14444,41743
2944,12360,43812
2948,10318,45808
3072,22752,33298
3080,22016,34036
3096,21728,34274
3100,21443,34592
3112,20512,35504
3168,21256,34672
3168,22832,33120
3184,16437,39477
3232,26048,29812
3264,16400,39472
3272,25048,30816
3276,21698,34004
3278,16397,39461
3286,20400,35424
3292,14168,41653
3292,18440,37312
3328,14110,41616
3328,16374,39407
3328,16383,39413
3456,14008,41606
3456,21688,33938
3572,23648,31840
3572,25578,29984
3584,18344,37192
3632,13960,41526
3648,11872,43615
3712,26448,28934
3730,21416,33908
3756,18296,37016
3840,15880,39378
3936,18172,36990
4032,23014,29570
4040,24633,29640
4064,7496,47547
4140,24637,29648
4176,21144,33812
4184,24641,29672
4196,24644,29684
4200,15564,39362
4216,24648,29712
4224,23138,31760
4240,20948,33704
4256,21002,33738
4272,21028,33768
4288,17866,36872
4544,20924,33640
4544,24656,29776
4672,24672,29780
4864,24444,29572
4864,24468,29573
4880,24502,29576
4888,24528,29577
4896,24548,29578
4896,24568,29581
4896,24626,29602
4896,24631,29608
4904,24628,29604
4912,24584,29584
4912,24592,29586
4912,24614,29588
4920,19808,33405
4920,24616,29600
4924,20214,33448
4924,20288,33595
4926,7104,45774
4926,17312,36783
6329,13958,36751
6446,6482,45648
3552,3664,4288,47464
3680,3688,3988,28668
3724,3904,4000,29248
4920,7220,13664,33282
