14752,46110
160,6162,56772
304,6044,56742
320,5998,56758
384,5890,56678
384,5968,56736
432,5935,56724
448,5918,56720
568,5822,56552
640,5832,56630
760,6112,56230
768,5810,56518
792,5792,56480
792,6094,56204
852,5776,56476
864,5756,56470
880,6085,56134
896,5730,56464
896,6159,56038
924,6192,55983
928,5704,56454
952,6139,56006
960,6130,55952
972,5684,56438
1024,5662,56410
1024,6312,55763
1048,5662,56390
1056,6326,55716
1056,6345,55696
1056,6450,55590
1060,6291,55750
1068,6475,55555
1072,6119,55910
1076,6532,55491
1088,6470,55544
1088,6645,55366
1088,6668,55342
1096,6570,55428
1108,6678,55311
1108,6699,55291
1112,6568,55423
1116,6638,55335
1120,5644,56340
1128,6566,55408
1132,6828,55142
1136,6739,55224
1136,6825,55131
1144,6691,55268
1144,6736,55222
1152,6985,54962
1152,7032,54916
1152,7169,54772
1152,7204,54738
1154,6787,55158
1160,7026,54915
1164,6974,54961
1176,7199,54723
1180,6816,55108
1184,7386,54523
1186,7334,54578
1188,6511,55395
1196,5598,56310
1208,7405,54488
1208,7425,54468
1216,7376,54512
1216,7519,54368
1216,7559,54328
1222,7640,54242
1224,7627,54214
1226,7410,54467
1230,7184,54690
1232,5582,56284
1248,7540,54306
1258,6752,55094
1268,7471,54363
1272,7744,54083
1280,5558,56264
1280,7856,53953
1280,7876,53944
1288,7768,54035
1292,7124,54688
1294,6734,55075
1298,6731,55072
1302,7981,53819
1304,7739,54060
1312,6720,55067
1312,7106,54683
1312,7916,53870
1324,8168,53612
1324,8312,53465
1328,6712,55064
1328,8632,53144
1328,8704,53072
1332,8565,53175
1338,7904,53859
1338,8572,53187
1344,8033,53712
1344,8184,53569
1344,8386,53328
1344,8387,53354
1346,7072,54680
1346,7947,53800
1356,7043,54674
1360,5552,56168
1364,5556,56176
1392,9120,52592
1392,9254,52456
1396,8888,52820
1400,7446,54256
1400,8784,52920
1402,5542,56160
1404,9312,52388
1408,9025,52667
1408,9224,52434
1408,9367,52325
1412,8932,52760
1420,6622,55056
1432,7019,54653
1438,5536,56120
1456,8816,52827
1456,8983,52660
1464,8334,53304
1472,9352,52275
1476,7431,54195
1480,9814,51805
1484,9730,51874
1486,9656,51952
1488,9417,52192
1494,5490,56118
1502,10258,51343
1504,10676,50896
1510,9362,52228
1520,10422,51152
1524,8275,53302
1524,9801,51778
1536,10733,50798
1536,10840,50694
1536,10992,50565
1536,11038,50505
1540,9476,52068
1546,8265,53280
1552,6495,55040
1552,7766,53786
1576,11088,50432
1582,10192,51330
1584,7328,54187
1588,6488,55027
1600,9968,51528
1600,10902,50598
1606,7320,54170
1616,6460,55026
1624,11241,50225
1632,8236,53228
1632,9460,52002
1640,6445,55019
1648,8894,52560
1652,11429,50022
1654,11618,49828
1664,11570,49862
1676,11068,50336
1676,11408,49936
1712,6434,54944
1712,7705,53676
1712,9442,51938
1728,9932,51430
1728,11216,50118
1736,8224,53106
1738,7698,53664
1760,5464,55878
1776,11808,49516
1784,11635,49681
1792,12626,48679
1796,12256,49018
1804,11187,50104
1832,12574,48636
1840,9328,51936
1848,5398,55852
1856,10656,50592
1856,11742,49448
1856,12021,49222
1856,12240,48992
1860,11402,49808
1868,9296,51896
1872,9306,51920
1882,8170,53041
1884,8176,53042
1888,5358,55840
1920,7014,54139
1944,5344,55803
1960,9887,51241
1960,11384,49680
1976,5328,55795
1984,5324,55794
1984,9872,51188
2016,9204,51865
2048,5302,55739
2048,10501,50552
2080,12778,48241
2084,10472,50545
2088,5284,55710
2098,5290,55715
2112,13600,47384
2128,12464,48500
2128,13171,47774
2146,12920,48018
2160,5258,55686
2176,13621,47301
2180,13300,47608
2204,14104,46761
2208,12387,48499
2208,13900,46988
2208,14074,46816
2236,13712,47148
2246,13880,46957
2272,14162,46669
2272,15329,45472
2284,14176,46609
2304,13862,46928
2312,10464,50300
2344,12328,48432
2404,16212,44476
2416,15823,44850
2432,17516,43050
2432,17596,43065
2432,17936,42704
2434,17460,43210
2456,15716,44932
2464,16582,44040
2464,16714,43744
2476,15281,45172
2512,12172,48416
2524,15322,45236
2552,13856,46672
2576,12171,48312
2632,8708,51756
2656,17824,42608
2680,12132,48288
2688,18298,42092
2688,18408,41996
2690,16701,43704
2720,18184,42156
2722,17104,43225
2752,15216,45088
2764,13825,46515
2768,15217,45092
2812,18347,41932
2816,15214,45064
2832,15202,45040
2880,18401,41760
2944,19288,40865
2944,19568,40504
2976,18968,41158
2984,19160,40858
2992,18840,41046
3000,18912,41089
3008,17644,42320
3008,18712,41376
3016,15083,45005
3024,10451,49617
3040,15048,44784
3042,15072,44880
3064,13457,46474
3064,13488,46496
3200,15056,44845
3232,13436,46378
3312,20004,39704
3312,20601,39172
3338,19792,39960
3340,15012,44718
3392,14948,44711
3392,19512,40120
3488,19984,39632
3496,20547,39052
3512,21088,38449
3520,18533,41016
3528,18542,41025
3584,19948,39544
3648,23424,36024
3668,23321,36112
3678,27520,31904
3680,23552,35864
3712,27616,31760
3728,26768,32608
3760,22512,31553
3776,25440,31554
3792,20845,38418
3824,19888,39376
3856,26016,31556
3888,20818,38385
3904,23321,35856
3904,26032,31557
3936,26128,31558
3968,23306,35816
3984,26202,31560
3992,18382,40664
4108,26248,31568
4112,20733,38258
4118,23264,35716
4140,23174,35644
4146,23187,35652
4160,20536,38091
4160,21924,36960
4168,20706,38225
4352,20574,38126
4480,18144,40480
4512,26256,31572
4512,26284,31576
4528,26291,31584
4544,26292,31608
4560,26293,31632
4568,26294,31662
4576,26296,31888
4608,22568,35072
4608,22712,35119
4632,22736,35121
4636,22744,35138
4660,22828,35232
4662,22884,35281
4664,22884,35298
4768,8699,49424
5184,16168,39108
5184,16567,39152
5184,17008,40344
5240,5248,46184
5248,5248,46218
5256,8126,49391
6401,6404,47954
6416,7014,48176
14892,14913,29930
3648,5056,16160,37856
