31267,31589
174,6304,58160
256,6279,58102
256,6284,58096
384,6133,58092
448,6112,58070
484,6110,58028
528,6088,58016
608,6040,57978
640,5971,58004
640,5980,58014
672,6060,57895
676,5920,57941
692,5950,57996
704,5921,57942
704,5924,57944
730,5936,57964
798,5902,57936
808,5862,57916
892,6104,57635
908,5816,57865
912,5839,57878
960,6132,57537
974,5810,57840
992,6081,57558
1014,6234,57372
1048,5756,57799
1050,5761,57812
1056,5761,57814
1088,6262,57284
1088,6310,57232
1088,6418,57134
1088,6496,57044
1088,6562,56968
1092,6202,57345
1096,6192,57352
1100,6258,57281
1104,6216,57320
1104,6408,57126
1104,6539,56991
1108,6459,57070
1112,6405,57120
1116,6756,56766
1116,6915,56592
1120,6671,56848
1120,6790,56712
1120,6864,56638
1124,6792,56718
1136,6184,57310
1136,6761,56740
1140,6185,57312
1144,5743,57750
1148,5742,57749
1148,6588,56904
1150,6988,56494
1152,6375,57108
1152,6692,56795
1160,6974,56504
1166,7008,56462
1168,6512,56955
1180,6822,56635
1182,5718,57740
1184,7213,56241
1188,7020,56432
1192,7267,56177
1194,7146,56288
1200,7096,56343
1208,5701,57729
1214,7584,55842
1216,7256,56166
1216,7523,55900
1216,7573,55848
1216,7804,55618
1216,7808,55613
1216,7836,55584
1220,7200,56220
1224,7494,55921
1226,7816,55553
1232,7334,56065
1232,7527,55874
1236,7128,56274
1236,7336,56066
1248,7286,56104
1248,7738,55650
1252,7522,55845
1254,6484,56898
1254,7331,56048
1260,5692,57688
1264,6752,56612
1274,5690,57672
1280,7950,55408
1280,7955,55404
1280,7964,55391
1288,6454,56891
1288,7862,55473
1290,5680,57670
1306,8083,55244
1312,6742,56571
1312,7284,56032
1312,8032,55280
1332,8102,55206
1334,8204,55102
1336,7941,55358
1344,8176,55095
1344,8184,55111
1344,8231,55052
1344,8332,54941
1348,7996,55276
1350,6736,56550
1356,7280,55985
1382,8368,54864
1392,8225,55008
1400,7709,55528
1408,5621,57610
1408,7696,55516
1408,8294,54922
1410,7700,55518
1412,7244,55964
1428,6670,56540
1440,8106,55084
1440,8510,54690
1440,8701,54496
1442,7236,55956
1452,8572,54616
1456,8360,54824
1456,8752,54428
1464,8516,54644
1464,8666,54487
1472,5616,57552
1488,9101,54048
1496,8981,54160
1496,9152,53986
1500,8888,54242
1504,5604,57532
1504,8774,54357
1514,5592,57530
1520,9312,53808
1520,9570,53536
1526,9040,54068
1536,7184,55920
1536,9111,53976
1536,9268,53832
1536,9549,53524
1540,8882,54201
1544,5582,57502
1552,5583,57504
1560,9162,53904
1560,9359,53707
1572,8571,54482
1588,9624,53428
1588,10168,52880
1590,9866,53183
1592,9936,53096
1592,10129,52900
1600,5564,57475
1600,9788,53250
1616,5554,57468
1616,9348,53668
1620,9148,53863
1632,9616,53390
1640,10864,52128
1644,10180,52802
1656,8864,54114
1664,9494,53481
1664,10214,52752
1664,10934,52032
1664,11330,51645
1680,10472,52487
1692,10831,52088
1692,11028,51888
1696,9922,53008
1712,7641,55272
1728,11686,51168
1728,11688,51196
1732,11021,51880
1738,10466,52428
1752,10648,52235
1760,8840,54040
1760,10640,52228
1760,11232,51632
1772,7608,55260
1776,10464,52386
1792,12192,50618
1792,12364,50472
1796,12210,50632
1800,12080,50760
1808,11755,51077
1822,9824,52993
1824,12044,50728
1832,9812,52968
1848,5532,57219
1864,5540,57224
1896,12020,50720
1908,11204,51522
1920,5516,57202
1920,12555,50160
1920,12712,49990
1936,9808,52896
1940,14002,48672
1952,12400,50288
1952,12984,49696
1952,13344,49320
1960,5478,57192
1972,11616,51046
1980,13737,48868
1988,13226,49400
2024,12782,49804
2030,12573,50027
2032,9736,52868
2040,12179,50403
2048,11128,51460
2064,13728,48845
2066,5460,57107
2080,12976,49575
2092,14216,48260
2112,7604,54914
2112,13208,49306
2144,13412,49072
2164,8812,53646
2184,9712,52738
2192,14344,48077
2200,13652,48770
2202,10348,52082
2232,10988,51417
2240,7602,54796
2240,14509,47838
2264,10339,52024
2304,5456,56868
2304,14672,47638
2320,5450,56864
2332,15720,46580
2336,14136,48157
2336,15248,47056
2352,15052,47231
2368,16024,46221
2372,14956,47312
2400,16636,45486
2400,16982,45212
2408,16548,45624
2432,16352,45784
2432,16476,45728
2434,11984,50220
2440,15776,46352
2464,15351,46800
2472,14448,47712
2510,15309,46770
2528,14112,47968
2552,11865,50188
2592,17440,44608
