3918,4082
24,782,7340
40,763,7324
42,768,7330
68,764,7327
88,762,7303
98,761,7294
100,738,7322
120,810,7222
136,832,7190
136,839,7183
136,852,7172
136,862,7155
136,892,7132
138,822,7196
142,734,7283
144,860,7150
144,883,7130
144,921,7092
144,926,7086
144,932,7081
146,731,7282
150,804,7205
152,957,7050
152,1082,6924
152,1101,6901
152,1161,6844
156,901,7102
156,1066,6937
158,1036,6966
160,1144,6854
160,1233,6762
160,1414,6581
164,822,7174
166,980,7013
168,998,6990
168,1100,6890
176,882,7101
176,1361,6620
176,1420,6561
178,1300,6681
184,722,7252
184,918,7055
184,1090,6882
184,1465,6505
190,978,6988
190,1436,6529
192,715,7250
192,797,7168
196,1497,6466
200,1578,6381
202,1339,6618
208,700,7249
208,1180,6769
212,1333,6606
212,1483,6460
216,695,7248
216,1178,6753
218,694,7246
230,684,7245
232,879,7044
232,1062,6866
232,1166,6750
232,1582,6341
246,1661,6246
248,1647,6262
256,1298,6604
256,1537,6365
256,1713,6185
256,1774,6129
266,1051,6841
266,1786,6105
270,1612,6270
280,1598,6268
280,2014,5861
280,2130,5746
284,1426,6450
296,2431,5428
298,1693,6169
302,2020,5837
312,1286,6560
312,2601,5245
316,2209,5626
316,2560,5274
320,1937,5902
328,2782,5041
330,1796,6034
334,1681,6145
338,3346,4476
342,1917,5901
352,1580,6228
352,2681,5121
356,2286,5511
376,1884,5900
376,2533,5250
376,3201,4521
382,3076,4690
384,2828,4945
386,1021,6748
396,1985,5779
400,2151,5606
400,2924,4830
424,2140,5596
424,2894,4829
424,3040,4689
428,1284,6444
440,2893,4822
448,3033,4652
448,3362,4332
480,3548,4130
484,3354,4321
484,3568,4106
488,2452,5220
496,3796,3809
518,528,3926
534,1883,5740
552,2804,4804
556,3394,4138
576,3404,4180
578,3401,4146
584,3402,4154
606,2426,5100
608,1517,6018
638,3386,4114
664,2406,5088
676,2777,4084
678,3342,4098
680,1882,5581
858,976,6012
506,676,2778,4085
512,676,2792,4090
552,554,668,4032
668,668,2284,4081
